,Title,Price,Location,Bed
0,Beautiful home walking distance from Downtown Campbell,1000, campbell,1
1,Magnificent 2bed near West Wind Capitol Drive-In,1000, SAN JOSE,"2
983ft2"
2,Magnificent 2bed near West Wind Capitol Drive-In,1000, SAN JOSE,"2
983ft2"
3,Magnificent 2bed near West Wind Capitol Drive-In,1000, SAN JOSE,"2
983ft2"
4,1 Br/Ba in a 2 Br/2Ba in-law unit,1000, visitacion valley,1
5,Cottage in North Oakland,1000, oakland north / temescal,NA
6,420 friendly studio and rooms for rent,1000, san jose south,NA
7,"SMALL STUDIO 1 PERSON / ESTUDIO PEQUEÑO UNA PERSONA $1,000",1000, san leandro,NA
8,"Fremont Room for Rent, $1000/ month.",1000, fremont / union city / newark,"3
1500ft2"
9,DON'T RENT SCAMMER,1000, dublin / pleasanton / livermore,NA
10,Burlingame Pet-friendly Studio,1000, burlingame,NA
11,"Large 2 Bedroom Apartment in Lakeport with Amazing lake view,nice area",1000, mendocino county,"2
800ft2"
12,"Large 2 Bedroom Apartment in Lakeport with Amazing lake view,nice area",1000, lake county,"2
800ft2"
13,In-law unit One bedroom one bath separate private,1000, san leandro,1
14,Roommate wanted!,1000, cupertino,NA
15,Airstream RV trailer 34 feet for rent,1000,NA,270ft2
16,$1000/2 beds 1 bath -- sqft,1000, Morgan Hill,2
17,Spacious Masters Bedroom with Access to the Deck on Mission hills,1000, hayward / castro valley,NA
18,Willow Glen Cottage,1000, san jose west,350ft2
19,"Bedrooms For Rent in the Oakland Hills- $1,000 !!!",1000, oakland hills / mills,"3
1500ft2"
20,Studio: Redwoods across the road from Russian River,1000, healdsburg / windsor,300ft2
21,Neat Studio in Napa County,1000, napa county,NA
22,Looking for 2 Roommates $1000 (each),1000, oakland west,2
23,Small Efficiency Studio/766 Sutter,1000, lower nob hill,NA
24,"SCAM SCAM SCAM in ""Morgan Hill""",1000, morgan hill,NA
25,SE RENTA STUDIO !!!,1000, hayward / castro valley,NA
26,Cuarto amueblado,1000, menlo park,NA
27,Studio Apt A,1000, oakland east,500ft2
28,Charming Studio/in-law like unit available,1000, El Sobrante,"1
450ft2"
29,LOCATION LOCATION!! Beautiful private room in a 2bed/1bath! in-law,1000, excelsior / outer mission,"1
81ft2"
30,1 bed available,1000,NA,1
31,Sunnyvale Classical Studio,1000, sunnyvale,NA
32,San Jose Cozy Studio,1000, san jose downtown,NA
33,"Roll Out of Bed to SDSU!uNFurnished 3 Bedrooms/1baths-Avail Feb 28,201",1000," 1104 Terilyn Ave, San Jose, CA",3
34,Private Bedroom For Rent,1000, daly city,1
35,Adorable Santa Rosa Studio,1000, santa rosa,NA
36,RENOVATED menlo park studio,1000, menlo park,NA
37,Charming Belmont Studio,1000, belmont,NA
38,san leandro studio for rent,1000, san leandro,NA
39,studio for rent alameda,1000, alameda,NA
