,Title,Price,Location,Bed
0,Beautiful home walking distance from Downtown Campbell,1000, campbell,1
1,Magnificent 2bed near West Wind Capitol Drive-In,1000, SAN JOSE,"2
983ft2"
2,Magnificent 2bed near West Wind Capitol Drive-In,1000, SAN JOSE,"2
983ft2"
3,Magnificent 2bed near West Wind Capitol Drive-In,1000, SAN JOSE,"2
983ft2"
4,420 friendly studio and rooms for rent,1000, san jose south,NA
5,Roommate wanted!,1000, cupertino,NA
6,Willow Glen Cottage,1000, san jose west,350ft2
7,"SCAM SCAM SCAM in ""Morgan Hill""",1000, morgan hill,NA
8,Sunnyvale Classical Studio,1000, sunnyvale,NA
9,San Jose Cozy Studio,1000, san jose downtown,NA
10,"Roll Out of Bed to SDSU!uNFurnished 3 Bedrooms/1baths-Avail Feb 28,201",1000," 1104 Terilyn Ave, San Jose, CA",3
11,sunnyvale stylish studio,1000, sunnyvale,NA
12,HOUSEMATE NEEDED in Luxury Apartments Sunnyvale,1000, sunnyvale,NA
13,3bathrm-four bed room House all neighborhoods,1019, sunnyvale,"3
1657ft2"
14,Charming Cottage Studio near San Jose State,1050, san jose downtown,250ft2
15,Private studio apartment in Victorian Triplex,1050, san jose downtown,130ft2
16,1b1b Apartment available,1050, santa clara,"1
141ft2"
17,Santa Clara University Area,1075,NA,2
18,Furnished Room for rent,1095, san jose west,2
19,Furnished Bedroom Bathroom private entrance In Single Family house,1100, san jose east,1
20,Furnished bedroom + private entrance + bathroom (Evergreen - San Jose),1100, san jose east,1
21,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose downtown,1
22,Master Bedroom With Attached Bathroom private entrance In Single Famil,1100, san jose east,1
23,"Private Bedroom, Private bath, Private entrance",1100, san jose east,"1
250ft2"
24,private entrance bedroom with attached brand-new bathroom,1100, san jose east,1
25,New Bedroom with Private bath and Private entrance,1100, san jose east,1
26,Furnished Bedroom Bathroom private entrance In Single Family house,1100, san jose north,1
27,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose east,1
28,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose north,1
29,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose east,1
30,Bedroom + Private Entrace + Private Bath,1100, san jose downtown,1
31,Share Condo,1100, milpitas,2
32,1 Bed 1 Bath in a beautiful house AVAILABLE NOW for single occupancy,1100, san jose east,"1
400ft2"
33,Close to Apple/ De Anza College,1100, cupertino,1
34,Newly remodeled single unit.  Privacy and convenience!,1100, san jose downtown,NA
35,Furnished Bedroom + Bathroom private entrance In Single Family house,1100, san jose east,1
36,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose north,1
37,New Bedroom Attached Bathroom private entrance In Single Family house,1100, san jose east,1
38,Furnished Bedroom + Private Entrance + Private Bath,1100, san jose downtown,1
39,Rv space for rent in prunedale,1100, prunedale,NA
