HeadLine	Price	Location	Bed
"
3/1 Bath  At 17944 Madrone Dr, Los Gatos, CA, USA For Rent17944 Madrone Dr, Los Gatos, CA, USA"	2200	"Los Gatos, CA"	2
"
$2950 / 2br - 1108ft2 - 2bed 2bath Apartment In Sunnyvale [Av...1063 Morse ave"	2950	"Sunnyvale, CA"	2
"
Semi Furnished 1Bedroom Apartment Available For Lease Transfer In Richmond...Richmond Parkway & I-80 Park and Ride, San Pablo, CA, USA"	1904	"San Pablo, CA"	1
"
1BHK Luxury Apartment For Sublease1902 South Abel Street, Milpitas, CA, USA"	2421	"Milpitas, CA"	1
"
2BED 2BATH Condo For Rent In Fremont3409 Foxtail Terrace, Fremont, CA, USA"	2475	"Fremont, CA"	2
"
Beautiful And Bright 2 Bedroom 2 Bath Luxury Condo In Milpitas700 S Abel St"	2900	"Milpitas, CA"	2
"
Room Available To Rent W/attached Bathroom"	1000	"Dublin, CA"	1
"
Townhouse In Pleasanton For Rent, Walking Distance To Bart, K...4220 Lucero Ct, Pleasanton, CA, USA"	3200	"Pleasanton, CA"	3
"
Beautiful House For RentPittsburg, CA 94565, USA"	2750	"Pittsburg, CA"	3
"
Attractive Deal 1Bed/1Bath Apartment Available For Lease Take...500 Amalfi Loop, Milpitas, CA, USA"	2100	"Milpitas, CA"	1
"
1bed/1bath In Fremont For Rent- Paragon Apartments - Close To...3700 Beacon Avenue"	2410	"Fremont, CA"	1
"
Newly Remodeled 4 Rooms 3 Bath In Fremont39459 Blue Fin Way, Fremont, CA, USA"	3350	"Fremont, CA"	4
"
1.5B/1B Brand New Apartment - Utilities Extra - Perfect For C...40468 Fremont Boulevard, Fremont, CA, USA"	2100	"Fremont, CA"	1
"
Alderwood 5month Lease(For Male) - A Cosy Bed Room With Its O...900 Pepper Tree Lane, Santa Clara, CA, USA"	1350	"Santa Clara, CA"	1
"
2 BED 2 BATH Apartment For Sub-lease In Simi Valley CA1467 East jefferson Way, Simi Valley, CA, USA"	2296	"Simi Valley, CA"	2
"
2 BED/2.5 BATH Condo (CORNER UNIT) For Rent In TOP CUPERTINO ...6881 Chantel Court, San Jose, CA, USA"	3100	"San Jose, CA"	2
"
Newly Re-modeled 1 Bedroom Apartment Available!Adobe Drive, Fremont, CA, USA"	1700	"Fremont, CA"	1
